apo_pdb,holo_pdb,rmsd
5B02_B.pdb,5GWW_D.pdb,3.6047160625457764
5B02_B.pdb,5B03_D.pdb,4.298078536987305
5OJX_A.pdb,5OJY_A.pdb,0.8854452967643738
5IHY_A.pdb,5DQW_B.pdb,0.5290127396583557
3VVX_B.pdb,3VW0_D.pdb,1.8197567462921143
4XE7_A.pdb,4XHN_A.pdb,3.7369883060455322
4XE7_A.pdb,4XHO_A.pdb,3.7738020420074463
6B2O_E.pdb,6B2M_C.pdb,1.8163312673568726
3Q1H_A.pdb,5HI6_B.pdb,1.035261869430542
4MPB_B.pdb,4NEA_A.pdb,0.2736642360687256
5EY7_B.pdb,5YGG_A.pdb,0.5296750664710999
3ZRD_A.pdb,2XPD_A.pdb,0.5007688999176025
4ALM_B.pdb,4ALK_H.pdb,0.366499662399292
4ALM_B.pdb,4ALJ_D.pdb,0.3789258897304535
4ALM_B.pdb,4BNG_D.pdb,0.3870292603969574
4ALM_B.pdb,4BNH_H.pdb,0.38438940048217773
4ALM_B.pdb,4BNK_D.pdb,0.40124043822288513
4HNU_B.pdb,3HBL_C.pdb,2.0373833179473877
4HNU_B.pdb,4HNV_C.pdb,1.910653829574585
4HNU_B.pdb,3BG5_D.pdb,2.695754051208496
3HB9_D.pdb,3HO8_D.pdb,2.8135156631469727
3VSK_A.pdb,3VSL_B.pdb,1.017490267753601
3HSE_A.pdb,3HSR_D.pdb,2.528796434402466
3TSB_A.pdb,4QM1_B.pdb,0.3377785384654999
3TSB_A.pdb,3USB_B.pdb,0.35891637206077576
3TSB_A.pdb,3TSD_B.pdb,0.37854906916618347
5JGJ_A.pdb,5JGK_A.pdb,1.296834945678711
5JGJ_A.pdb,5JGL_A.pdb,4.693068027496338
3PHL_A.pdb,3PJG_A.pdb,2.444462776184082
4HYM_B.pdb,4KQV_A.pdb,0.32039618492126465
4XTT_B.pdb,4XTT_A.pdb,0.7481271028518677
5TT8_F.pdb,5TUO_F.pdb,0.6287697553634644
5TT3_D.pdb,5TT8_D.pdb,0.6823259592056274
4ZRB_C.pdb,4ZRB_H.pdb,0.32077932357788086
5DJ1_D.pdb,6C92_B.pdb,0.16068825125694275
5DJ1_D.pdb,6C8T_C.pdb,0.37456071376800537
5L9P_B.pdb,5L9L_A.pdb,4.277807712554932
5L9P_B.pdb,5L9G_A.pdb,4.334882736206055
5L9P_B.pdb,5L9I_A.pdb,4.291990280151367
5ZLT_C.pdb,5XVS_B.pdb,3.064743757247925
5OEV_A.pdb,5OEU_A.pdb,0.3529125452041626
5WVA_B.pdb,5WUW_A.pdb,0.1736532747745514
3JXJ_A.pdb,3W9F_A.pdb,0.47342902421951294
4NPJ_A.pdb,4P42_B.pdb,1.3945701122283936
4ZKY_B.pdb,5JV4_A.pdb,0.3336906433105469
5T2V_A.pdb,5T2U_A.pdb,0.27133315801620483
3SC3_B.pdb,3BOS_A.pdb,4.7075700759887695
2MPA_L.pdb,2IPT_L.pdb,4.794867992401123
2MPA_L.pdb,4OCX_L.pdb,3.037273645401001
2MPA_L.pdb,1F3D_L.pdb,4.4133687019348145
2CGR_L.pdb,1YNL_L.pdb,3.8811731338500977
3F8F_B.pdb,3F8C_A.pdb,1.9148236513137817
3DFA_A.pdb,4Y5Q_A.pdb,1.0996484756469727
3DFA_A.pdb,3IGO_A.pdb,1.0829216241836548
3DFA_A.pdb,3MWU_A.pdb,1.0349751710891724
4RZ2_B.pdb,4RZ3_A.pdb,0.5194494128227234
5AMK_D.pdb,5OH1_C.pdb,0.6610344052314758
5AMK_D.pdb,5OH9_C.pdb,1.4913901090621948
5AMK_D.pdb,5OHA_C.pdb,0.6029984354972839
5AMK_D.pdb,5OH4_C.pdb,0.7785589694976807
5AMK_D.pdb,5OH3_B.pdb,0.5594186186790466
5XGQ_B.pdb,5XET_C.pdb,0.771308183670044
5TEK_A.pdb,5TJZ_A.pdb,3.204904794692993
5TEK_A.pdb,5TJY_A.pdb,3.252685785293579
5HWT_B.pdb,5HWV_B.pdb,0.34756454825401306
5HWT_B.pdb,5HWW_A.pdb,0.2764868438243866
3PW3_E.pdb,5WDL_C.pdb,0.16375112533569336
3PW3_E.pdb,5WDK_D.pdb,0.257162481546402
5UOU_A.pdb,3O7J_A.pdb,0.7591172456741333
3I3Y_A.pdb,3IKH_C.pdb,0.5170140862464905
3I3Y_A.pdb,3I3Y_D.pdb,0.44517362117767334
4XA8_A.pdb,5VG6_B.pdb,3.5805532932281494
3WRW_E.pdb,3WRX_B.pdb,2.2571098804473877
3DOL_B.pdb,3DOK_A.pdb,9.202402114868164
3DOL_B.pdb,3DOL_A.pdb,9.112373352050781
3DOL_B.pdb,3DMJ_A.pdb,9.023824691772461
3DOL_B.pdb,5VZ6_A.pdb,10.405011177062988
4NG7_A.pdb,4X04_A.pdb,2.103663682937622
4USI_C.pdb,4USJ_D.pdb,0.4911494851112366
5N22_C.pdb,5N1U_B.pdb,0.4556330144405365
6B9S_E.pdb,6B9T_F.pdb,0.9426658153533936
4RJZ_A.pdb,4QSC_A.pdb,3.3403141498565674
4RJZ_A.pdb,4QRZ_A.pdb,3.3462958335876465
2PWO_A.pdb,4INB_A.pdb,0.9733189344406128
3K01_A.pdb,3K00_A.pdb,3.147918224334717
3K01_A.pdb,3JZJ_A.pdb,3.1290624141693115
3K01_A.pdb,3K02_A.pdb,3.133411407470703
5MKB_E.pdb,5MKA_A.pdb,2.4795751571655273
5MKB_E.pdb,5M28_A.pdb,2.5433192253112793
5MKB_E.pdb,5MK9_A.pdb,2.2716588973999023
5UHQ_A.pdb,4QNC_B.pdb,2.6597061157226562
5UHQ_A.pdb,5UHS_A.pdb,1.274512529373169
4YB8_C.pdb,4XZ3_C.pdb,0.43898382782936096
5HBR_B.pdb,4XYM_B.pdb,1.1602309942245483
3T2F_A.pdb,3T2D_A.pdb,0.15694560110569
4MSO_A.pdb,4OTL_C.pdb,0.9118893146514893
5GIZ_B.pdb,5Y89_B.pdb,0.8640332221984863
5XVI_E.pdb,5XWC_A.pdb,4.424355983734131
5XVI_E.pdb,5XW0_A.pdb,4.443165302276611
4ZPX_B.pdb,3K1J_B.pdb,0.8591734766960144
3E6D_A.pdb,3E5U_D.pdb,4.363974094390869
5GQ1_C.pdb,5GRB_D.pdb,0.49678662419319153
4QVG_D.pdb,4U1Q_C.pdb,2.861882448196411
4QVG_D.pdb,4X3Q_B.pdb,2.9871835708618164
2YGL_B.pdb,2YGM_A.pdb,11.964147567749023
4KKQ_B.pdb,4BEI_D.pdb,0.6243494153022766
4N9H_A.pdb,4N9I_A.pdb,7.079152584075928
5D2O_A.pdb,4AWF_A.pdb,0.7178707122802734
5D2O_A.pdb,4AVG_D.pdb,0.939830482006073
4AVQ_B.pdb,4AWH_B.pdb,0.5744799375534058
5M7O_B.pdb,5M7N_A.pdb,2.1766092777252197
5M7O_B.pdb,5M7P_A.pdb,2.3437490463256836
4UP8_A.pdb,4UP7_A.pdb,0.8032819628715515
4N7X_A.pdb,4N7W_A.pdb,3.84999680519104
5ZGV_A.pdb,4RL2_A.pdb,0.4772966802120209
5ZGV_A.pdb,4RL0_B.pdb,0.3217189908027649
5ZGV_A.pdb,4EYB_B.pdb,0.3188241422176361
5ZGV_A.pdb,4RBS_B.pdb,0.42640745639801025
5ZGV_A.pdb,4EY2_B.pdb,0.3206801414489746
5UXB_B.pdb,5UXD_B.pdb,1.3919684886932373
4X1O_A.pdb,5BW4_B.pdb,0.44370076060295105
4FWV_A.pdb,4FWH_A.pdb,1.4126479625701904
4FWV_A.pdb,4FWD_A.pdb,1.5586977005004883
2HQ8_A.pdb,2HPS_A.pdb,3.2120516300201416
5DFG_A.pdb,5V0F_A.pdb,0.38017022609710693
5M38_A.pdb,5M3G_A.pdb,1.1371217966079712
4L9B_A.pdb,4L97_A.pdb,0.31944307684898376
4L9B_A.pdb,4RGA_B.pdb,0.3500482141971588
4L9B_A.pdb,4RGG_B.pdb,0.3183518946170807
5D4L_A.pdb,5D4O_A.pdb,0.5266301035881042
4N6E_A.pdb,4N6F_A.pdb,0.4445832371711731
4XSJ_A.pdb,4U15_A.pdb,0.5428062081336975
5NX0_A.pdb,6D26_A.pdb,0.554546594619751
5NX0_A.pdb,6D27_A.pdb,0.500471830368042
4D8B_A.pdb,4D8E_A.pdb,0.2848307490348816
4G41_A.pdb,4G41_B.pdb,0.8315245509147644
4XEH_A.pdb,4XDZ_A.pdb,1.5511804819107056
4XEH_A.pdb,5E4R_A.pdb,1.4977061748504639
3TVZ_A.pdb,4JOU_A.pdb,0.35718977451324463
4OZR_U.pdb,4OZT_U.pdb,0.7250076532363892
4OZR_E.pdb,4OZT_E.pdb,0.5481429100036621
3GYY_D.pdb,2VPO_B.pdb,2.7858238220214844
3GYY_D.pdb,2VPN_B.pdb,2.7519354820251465
